# can_id	bit_offset	width_bits	signed	factor	offset	unit	name	comment
400	57	1	0	1	0		TEL_xStoerVist	Störung Vist
400	58	1	0	1	0		TEL_xStoerSpeicher	Störung Speicher
400	59	1	0	1	0		TEL_xSummer	Summer
400	60	1	0	1	0		TEL_xTrakSperre	Traktionssperre
400	61	1	0	1	0		TEL_xSIFA_Sbrems	SIFA-Schnellbremsung
400	62	1	0	1	0		TEL_xVSchwelle1	V-Schwelle 1
400	63	1	0	1	0		TEL_xVSchwelle2	V-Schwelle 2
401	0	16	0	1	0		GSS426_IwVistA13	Istgeschwindigkeit Achse (CAN1=1 CAN2=3)
401	16	16	0	1	0		GSS426_IwVistA24	Istgeschwindigkeit Achse (CAN1=2 CAN2=4)
401	32	1	0	1	0		GSS426_xStoeA13	Störung Vist Achse (CAN1=1 CAN2=3)
401	32	8	0	1	0		GSS426_IbMeldung0	GSS 426 Meldung 0
401	33	1	0	1	0		GSS426_xStoeA24	Störung Vist Achse (CAN1=2 CAN2=4)
401	40	8	0	1	0		GSS426_1_Ib0	GSS 426.1 Digital Input
401	48	1	0	1	0		GSS426_xLTStoer	Leittechnik Störung Gleitschutzrechner MDG (CAN1=1 CAN2=2)
401	48	8	0	1	0		GSS426_IbMeldung1	GSS 426 Meldung 1
402	0	16	0	1	0		GSS424_IwVistA57	Istgeschwindigkeit Achse (CAN1=5 CAN2=7)
402	16	16	0	1	0		GSS424_IwVistA68	Istgeschwindigkeit Achse (CAN1=6 CAN2=8)
402	32	1	0	1	0		GSS424_xStoeA57	Störung Vist Achse (CAN1=5 CAN2=7)
402	32	8	0	1	0		GSS424_IbMeldung0	GSS 424 Meldung 0 Eingang
402	33	1	0	1	0		GSS424_xStoeA68	Störung Vist Achse (CAN1=6 CAN2=8)
402	39	1	0	1	0		GSS424_xLTStoer	Leittechnik Störung Gleitschutzrechner LDG (CAN1=1 CAN2=2)
402	40	8	0	1	0		GSS424_1_Ib0	Pos 424.1 Digital Input
402	48	8	0	1	0		GSS424_4_Ib0	Pos 424.4 Digital Input
402	56	8	0	1	0		GSS424_5_Ib0	Pos 424.5 Digital Input
403	0	16	0	1	0		GSS428_IwVistA9	Istgeschwindigkeit Achse 9
403	16	16	0	1	0		GSS428_IwVistA10	Istgeschwindigkeit Achse 10
403	32	1	0	1	0		GSS428_xStoeA9	Störung Vist Achse 9
403	32	8	0	1	0		GSS428_IbMeldung0	GSS 428 Meldung 0 Eingang
403	33	1	0	1	0		GSS428_xStoeA10	Störung Vist Achse 10
403	38	1	0	1	0		GSS428_xLTStoer	Leittechnik Störung Gleitschutzrechner LDG3
403	40	8	0	1	0		GSS428_2_Ib0	GSS 428.2 Digital Inputs
403	48	8	0	1	0		GSS428_5_Ib0	GSS 428.5 Digital Inputs
403	56	8	0	1	0		GSS428_6_Ib0	GSS 428.6 Digital Inputs
405	8	1	0	1	0		KL1_xParkFR	Parken Fahrgastraum
405	8	8	0	1	0		KL1_bStatusFGR	Rückmeldung Gerätezustand FGR A
405	9	1	0	1	0		KL1_xAutoFR	Automatikbetrieb Fahrgastraum
405	10	1	0	1	0		KL1_xAusFR	AUS Fahrgastraum
405	11	1	0	1	0		KL1_xWaschenFR	Waschen Fahrgastraum
405	12	1	0	1	0		KL1_xWarnungFR	Warnung Fahrgastraum
405	13	1	0	1	0		KL1_xStoerungFR	Störung Fahrgastraum (eingeschränkter Betrieb möglich)
405	14	1	0	1	0		KL1_xFatalErrorFR	Komplettabschaltung Anlage
405	15	1	0	1	0		KL1_xServiceFR	Anlage im Service-Mode Fahrgastraum
405	16	1	0	1	0		KL1_HeizenFGR	Heizen Fahrgastraum Klimaanlage
405	16	8	0	1	0		KL1_bBetriebZstd	Rückmeldung Betriebszustand Wagen A
405	17	1	0	1	0		KL1_KuehlenFGR	Kuehlen Fahrgastraum Klimaanlage
405	18	1	0	1	0		KL1_LueftenFGR	Lueften Fahrgastraum Klimaanlage
405	19	1	0	1	0		KL1_HeizenFST	Heizen Fahrerstand Klimaanlage
405	20	1	0	1	0		KL1_KuehlenFST	Kuehlen Fahrerstand Klimaanlage
405	21	1	0	1	0		KL1_LueftenFST	Lueften Fahrerstand Klimaanlage
405	24	1	0	1	0		KL1_xParkFST	Parken Fahrerstand
405	24	8	0	1	0		KL1_bStatusFST	Rückmeldung Gerätezustand FST A
